Date,RM,RF,Year,Month
2009-11-26,-0.002211103,0,2009,11
2009-11-25,0.005411845,0,2009,11
2009-11-24,0.003565691,0,2009,11
2009-11-23,0.00054406,0,2009,11
2009-11-20,-0.009923995,0,2009,11
2009-11-19,-0.000863946,0,2009,11
2009-11-18,0.004329379,0,2009,11
2009-11-17,-0.007631521,0,2009,11
2009-11-16,0.01657398,0,2009,11
2009-11-13,-0.00069092,0,2009,11
2009-11-12,0.00037428,0,2009,11
2009-11-11,0.009820254,0,2009,11
2009-11-10,0.007535128,0,2009,11
2009-11-09,0.009868619,0,2009,11
2009-11-06,0.006146309,0,2009,11
2009-11-05,-0.006639847,0,2009,11
2009-11-04,0.019679281,0,2009,11
2009-11-03,-0.001670034,0,2009,11
2009-11-02,-0.000667568,0,2009,11
2009-10-30,-0.002122167,0,2009,10
2009-10-29,-0.023660895,0,2009,10
2009-10-28,-0.016113951,0,2009,10
2009-10-27,-0.001442283,0,2009,10
2009-10-26,0.002499582,0,2009,10
2009-10-23,0.005435118,0,2009,10
2009-10-22,-0.012149581,0,2009,10
2009-10-21,-0.006709211,0,2009,10
2009-10-20,0.000283823,0,2009,10
2009-10-19,0.00469469,0,2009,10
2009-10-16,0.000609566,0,2009,10
2009-10-15,0.001903648,0,2009,10
2009-10-14,0.013051892,0,2009,10
2009-10-13,-0.000431586,0,2009,10
2009-10-12,0.003687288,0,2009,10
2009-10-09,0.009149295,0,2009,10
2009-10-08,-0.013846065,0,2009,10
2009-10-07,0.009635021,0,2009,10
2009-10-06,0.013185031,0,2009,10
2009-10-05,0.003521374,0,2009,10
2009-10-02,-0.017681229,0,2009,10
2009-10-01,0.004810119,0,2009,10
2009-09-30,0.010658171,0,2009,9
2009-09-29,0.01995577,0,2009,9
2009-09-28,-0.008251625,0,2009,9
2009-09-25,0.0028672,0,2009,9
2009-09-24,-0.007122368,0,2009,9
2009-09-23,-0.012353679,0,2009,9
2009-09-22,-0.004455872,0,2009,9
2009-09-21,-0.00320067,0,2009,9
2009-09-18,0.006586602,0,2009,9
2009-09-17,0.004981022,0,2009,9
2009-09-16,0.012792904,0,2009,9
2009-09-15,0.012306823,0,2009,9
2009-09-14,-0.010929327,0,2009,9
2009-09-11,0.000690118,0,2009,9
2009-09-10,0.011220955,0,2009,9
2009-09-09,-0.008650545,0,2009,9
2009-09-08,0.012374405,0,2009,9
2009-09-07,0.009990032,0,2009,9
2009-09-04,0.0068237,0,2009,9
2009-09-03,0.00921621,0,2009,9
2009-09-02,0.002851953,0,2009,9
2009-09-01,0.028391652,0,2009,9
2009-08-31,0.00236275,0,2009,8
2009-08-28,0.01780219,0,2009,8
2009-08-27,-0.004235617,0,2009,8
2009-08-26,-0.013246375,0,2009,8
2009-08-25,-0.004217453,0,2009,8
2009-08-24,0.027566568,0,2009,8
2009-08-21,-0.011648199,0,2009,8
2009-08-20,-0.008153399,0,2009,8
2009-08-19,-0.000175264,0,2009,8
2009-08-18,-0.020489628,0,2009,8
2009-08-17,-0.019479426,0,2009,8
2009-08-14,0.004911186,0,2009,8
2009-08-13,0.019721985,0,2009,8
2009-08-12,-0.001464752,0,2009,8
2009-08-11,0.003799287,0,2009,8
2009-08-10,0.002070276,0,2009,8
2009-08-06,0.002980328,0,2009,8
2009-08-05,-0.015473262,0,2009,8
2009-08-04,-0.014289945,0,2009,8
2009-08-03,-0.002967061,0,2009,8
2009-07-31,0.007200684,0,2009,7
2009-07-30,-0.00797896,0,2009,7
2009-07-29,-0.008260263,0,2009,7
2009-07-28,0.016248294,0,2009,7
2009-07-27,0.00790876,0,2009,7
2009-07-24,-0.001088688,0,2009,7
2009-07-23,-0.000635619,0,2009,7
2009-07-22,0.004599229,0,2009,7
2009-07-21,0.002086798,0,2009,7
2009-07-20,0.012825884,0,2009,7
2009-07-17,0.010425792,0,2009,7
2009-07-16,0.006188229,0,2009,7
2009-07-15,0.01493958,0,2009,7
2009-07-14,0.016627315,0,2009,7
2009-07-13,-0.035309445,0,2009,7
2009-07-10,0.003212718,0,2009,7
2009-07-09,0.012003347,0,2009,7
2009-07-08,-0.007010939,0,2009,7
2009-07-07,0.009821186,0,2009,7
2009-07-06,-0.002323942,0,2009,7
2009-07-03,-0.000319459,0,2009,7
2009-07-02,0.013461074,0,2009,7
2009-07-01,0.02282437,0,2009,7
2009-06-30,0.006416686,0,2009,6
2009-06-29,-0.011202805,0,2009,6
2009-06-26,0.000921394,0,2009,6
2009-06-25,0.012151885,0,2009,6
2009-06-24,0.02946525,0,2009,6
2009-06-23,-0.022667598,0,2009,6
2009-06-22,0.017662871,0,2009,6
2009-06-19,0.014097091,0,2009,6
2009-06-18,-0.008292567,0,2009,6
2009-06-17,-0.004002694,0,2009,6
2009-06-16,-0.000762984,0,2009,6
2009-06-15,-0.034531957,0,2009,6
2009-06-12,-0.018141204,0,2009,6
2009-06-11,0.016263635,0,2009,6
2009-06-10,0.007464467,0,2009,6
2009-06-09,-0.032231345,0,2009,6
2009-06-08,-0.020552378,0,2009,6
2009-06-05,-0.002793963,0,2009,6
2009-06-04,-0.015534285,0,2009,6
2009-06-03,-0.008049986,0,2009,6
2009-06-02,-0.000721876,0,2009,6
2009-06-01,0.009238888,0,2009,6
2009-05-27,0.031022982,0,2009,5
2009-05-26,-0.007624962,0,2009,5
2009-05-25,-0.00042005,0,2009,5
2009-05-22,0.002750487,0,2009,5
2009-05-21,0.00226594,0,2009,5
2009-05-20,0.00721649,0,2009,5
2009-05-19,0.011824604,0,2009,5
2009-05-18,0.013672179,0,2009,5
2009-05-15,0.01962864,0,2009,5
2009-05-14,-0.018653414,0,2009,5
2009-05-13,0.008175607,0,2009,5
2009-05-12,-0.032335464,0,2009,5
2009-05-11,0.009664529,0,2009,5
2009-05-08,0.001673546,0,2009,5
2009-05-07,0.000939589,0,2009,5
2009-05-06,0.029273003,0,2009,5
2009-05-05,0.00782573,0,2009,5
2009-05-04,0.056374811,0,2009,5
2009-04-30,0.067421795,0,2009,4
2009-04-29,0.003096451,0,2009,4
2009-04-28,-0.018986687,0,2009,4
2009-04-27,-0.029880441,0,2009,4
2009-04-24,0.000941238,0,2009,4
2009-04-23,-0.00184672,0,2009,4
2009-04-22,0.000799128,0,2009,4
2009-04-21,0.017252831,0,2009,4
2009-04-20,0.004566162,0,2009,4
2009-04-17,-0.04031735,0,2009,4
2009-04-16,0.020761882,0,2009,4
2009-04-15,-0.002968089,0,2009,4
2009-04-14,0.005981931,0,2009,4
2009-04-13,0.013088987,0,2009,4
2009-04-10,0.020141854,0,2009,4
2009-04-09,0.041193631,0,2009,4
2009-04-08,-0.023900589,0,2009,4
2009-04-07,0.003712956,0,2009,4
2009-04-06,0.00480864,0,2009,4
2009-04-03,0.010203187,0,2009,4
2009-04-02,0.029980525,0,2009,4
2009-04-01,0.01988355,0,2009,4
2009-03-31,0.000920083,0,2009,3
2009-03-30,-0.034253436,0,2009,3
2009-03-27,0.00076858,0,2009,3
2009-03-26,0.007515366,0,2009,3
2009-03-25,0.019877227,0,2009,3
2009-03-24,0.023028075,0,2009,3
2009-03-23,0.032763493,0,2009,3
2009-03-20,-0.014755964,0,2009,3
2009-03-19,-0.00230013,0,2009,3
2009-03-18,0.001219902,0,2009,3
2009-03-17,0.014094848,0,2009,3
2009-03-16,0.015095796,0,2009,3
2009-03-13,0.030021137,0,2009,3
2009-03-12,-0.001115556,0,2009,3
2009-03-11,0.019040809,0,2009,3
2009-03-10,0.009243254,0,2009,3
2009-03-09,-0.005455956,0,2009,3
